Input,Output
好好我给你算,咱以前是不是说好一个月见一次的
咱以前是不是说好一个月见一次的,你这个月是不是犯病了
你这个月是不是犯病了,送铅笔盒一回
送铅笔盒一回,送书包一次
送书包一次,送充电宝一回
送充电宝一回,送蓝牙耳机一回
送蓝牙耳机一回,今天又来送什么
今天又来送什么,放眼镜你自己说说看你这个月见她多少次了
五六回,六回
六回,你还什么时候见过他
大概,我不跟你扯了
我不跟你扯了,你就说
你就说,你誓师大会跟谁见
你誓师大会跟谁见,你跟谁打招呼了
你跟谁打招呼了,跟方圆打招呼是吧
跟方圆打招呼是吧,他们是孩子家长是吧
我是约方圆通知他一下,你应该跟谁打招呼
我作为家长我还不能去吗,你现在成家长了
你现在成家长了,这么些年你管过英子学习吗
这么些年你管过英子学习吗,你管过吗
你管过吗,还家长了
还家长了,在这个学校里我才是英子的家长
在这个学校里我才是英子的家长,知道吗
你尴尬是不是,你胡说八道什么
我在操场边站着好吗,你还一个人站操场边上
你还一个人站操场边上,还不够显眼是吧
还不够显眼是吧,还嫌不够丢人现眼是吧
同时又是一个不甚完美的家庭,乔卫东
乔卫东,你是不是这偷鸡摸狗的事干多了
你是不是这偷鸡摸狗的事干多了,干嘛总是这么鬼鬼祟祟
干嘛总是这么鬼鬼祟祟,偷偷摸摸的习性
我为什么偷偷摸摸你不知道吗,我知道
我是尊重你,你现在的生活我们从来都不打扰
你现在的生活我们从来都不打扰,那是你的生活对吧
那是你的生活对吧,也请你不要再来打扰我们母女俩了
也请你不要再来打扰我们母女俩了,行吗
又不敢跟你讲,你怎么知道的
到时候借我玩两天,你是不了解我妈
你是不了解我妈,他就是个狠人
他就是个狠人,贼专制
刚才超市差点一巴掌呼死,你别急
你别急,这不是你们都还在吗
这不是你们都还在吗,等你们一走
等你们一走,我那宝贝望远镜就要被没收了
我那宝贝望远镜就要被没收了,我要是管他要的话
我要是管他要的话,他就说高考一完物归原主
我说你妈这样,我现在挺心疼我爸的
我现在挺心疼我爸的,你说他这三天两头的给我送的东西
你说他这三天两头的给我送的东西,每次哪一回不是被我妈给怼过去了
每次哪一回不是被我妈给怼过去了,夹着尾巴就逃走了
原来天下的妈妈都一个样,同为天下沦落人
同为天下沦落人,方圆你别弄了你过来
方圆你别弄了你过来,这俩人绝对复合了
这俩人绝对复合了,多长时间了
多长时间了,要不就打起来了
要不就打起来了,你想你今儿怎么了
你想你今儿怎么了,情绪不高
情绪不高,丧眉耷眼的，饭也不吃，急赤白脸地到别人家里，出什么事了，说
丧眉耷眼的，饭也不吃，急赤白脸地到别人家里，出什么事了，说,我这憋了一天了
我这憋了一天了,怎么了
怎么了,方一凡一直跟着我
方一凡一直跟着我,我也甩不掉
我也甩不掉,没法跟你说
没法跟你说,真把你打坏了
真把你打坏了,打坏了那些都不叫事儿
打坏了那些都不叫事儿,别人女孩谈恋爱被人父母给抓着了
别人女孩谈恋爱被人父母给抓着了,好好好，不开玩笑了，你说
好好好，不开玩笑了，你说,我跟你说正经的
我跟你说正经的,你说怎么了
你说怎么了,他们高三年级组的组长
他们高三年级组的组长,新上来的李老师
新上来的李老师,也是他的班主任
也是他的班主任,今天跟我说
今天跟我说,说怎么了
说怎么了,让我们考虑让方一凡高二蹲班
让我们考虑让方一凡高二蹲班,蹲班
蹲班,我洗完了
我洗完了,你洗去吧
你洗去吧,儿子呢
儿子呢,洗澡去了
洗澡去了,方圆
方圆,这蹲班的事到底怎么说呢
这蹲班的事到底怎么说呢,蹲班的确实还是挺丢脸的事
蹲班的确实还是挺丢脸的事,我路上其实都已经琢磨明白了
我路上其实都已经琢磨明白了,这蹲班搁以前都是什么
这蹲班搁以前都是什么,学习不好的二傻子二愣子对吧
学习不好的二傻子二愣子对吧,一说班里来了个留级的学生肯定是个坏孩子
一说班里来了个留级的学生肯定是个坏孩子,但这次肯定不一样
但这次肯定不一样,现在蹲班生可能学校有他的考虑
现在蹲班生可能学校有他的考虑,这可能跟升学率是挂着钩的
这可能跟升学率是挂着钩的,这都要蹲班了
这都要蹲班了,还升什么学哪来的升学率
还升什么学哪来的升学率,你看如果是参加高考的话
你看如果是参加高考的话,你就是一个稳定的分母
你就是一个稳定的分母,对不对
对不对,这总数是不变的
这总数是不变的,考上了你就是一分升学率就上去了
考上了你就是一分升学率就上去了,如果你没考上
如果你没考上,你就成为一个坏分子
你就成为一个坏分子,你还不如就蹲班
你还不如就蹲班,这还没正式开学
这还没正式开学,学校怎么知道这方一凡就当不了这个分子呢
学校怎么知道这方一凡就当不了这个分子呢,大数据，它根据你高一高二历次考试这些东西
大数据，它根据你高一高二历次考试这些东西,它判断一下你到底是一个什么级别的
它判断一下你到底是一个什么级别的,如果你是一个好分子肯定让你考
如果你是一个好分子肯定让你考,但如果你是个坏分子的话
但如果你是个坏分子的话,分母都不让你当直接让你蹲班
分母都不让你当直接让你蹲班,这奇怪了
这奇怪了,怎么方一凡这一眨眼之间就成了一个坏分子了呢
怎么方一凡这一眨眼之间就成了一个坏分子了呢,他现在没有成为坏分子
他现在没有成为坏分子,他是介于好分子跟坏分子之间
他是介于好分子跟坏分子之间,这就是学校担心的地方
这就是学校担心的地方,所以跟咱商量是不是要蹲一年的班
所以跟咱商量是不是要蹲一年的班,蹲一年班给你一年时间
蹲一年班给你一年时间,争取你成为好分子
争取你成为好分子,直接去参加高考
直接去参加高考,就这道理
就这道理,我不想让方一凡当坏分子
我不想让方一凡当坏分子,你先不要悲观
你先不要悲观,学校现在还是对方一凡是有信心的
学校现在还是对方一凡是有信心的,要不然不会跟他商量这事
要不然不会跟他商量这事,还有一个确实是他可能学习成绩不行
还有一个确实是他可能学习成绩不行,但是这孩子聪明
但是这孩子聪明,他积累反应快
他积累反应快,学习哪天他反应一快的成绩就上去了
学习哪天他反应一快的成绩就上去了,我知道了是方一凡跟你一样的
我知道了是方一凡跟你一样的,都是盲目乐观型的
都是盲目乐观型的,你要说这个乐观真没什么好乐观的
你要说这个乐观真没什么好乐观的,唯一乐观的就是这磊儿来了说不定能带带方一凡，是吧
唯一乐观的就是这磊儿来了说不定能带带方一凡，是吧,那也不一定也可能方一凡
那也不一定也可能方一凡,把磊儿给拉沟里去了
把磊儿给拉沟里去了,你刚批评我不要觉得太悲观
你刚批评我不要觉得太悲观,你乐观，现在怎么突然你悲观
你乐观，现在怎么突然你悲观,我乐观起来呢
我乐观起来呢,反正这事总体来讲不乐观
你帮我拿一下,我今天不是刚买了吗
我今天不是刚买了吗,你自己去拿一下
我怎么拿,我给你拿
我给你拿,行行行，我给他拿去
行行行，我给他拿去,你说就这样的
你说就这样的,我能乐观的了
我能乐观的了,我说呢
我说呢,大家晚上非得让我下来接你一趟
大家晚上非得让我下来接你一趟,原来是有人送你回来
原来是有人送你回来,大晚上都不回家住宾馆
大晚上都不回家住宾馆,还说为了孩子上个学近，谁信
还说为了孩子上个学近，谁信,这官当的
这官当的,杨杨呢，睡了吗
杨杨呢，睡了吗,好久没见他了
好久没见他了,对
对,你微信上说他又闯祸了
你微信上说他又闯祸了,怎么回事
怎么回事,没事
没事,就小孩子打打闹闹的
就小孩子打打闹闹的,老师都已经解决了
老师都已经解决了,你还是要提醒他
你还是要提醒他,以后少惹事
以后少惹事,没超标吧
没超标吧,超不超标的是咱自己花钱什么好担心的
超不超标的是咱自己花钱什么好担心的,英语还不错
英语还不错,这物理怎么考这么差
这物理怎么考这么差,究竟什么原因呢
究竟什么原因呢,纪局长你能不能不在家里打官腔
纪局长你能不能不在家里打官腔,我在跟你讲问题
我在跟你讲问题,怎么成打官腔了
怎么成打官腔了,你好好看看
你好好看看,这是高二的期末考试卷子
这是高二的期末考试卷子,两个月以前的了
两个月以前的了,给我看看
给我看看,现在才想起来关心
现在才想起来关心,真没看清楚
真没看清楚,两个多月过去了
两个多月过去了,他的成绩有没有在提高
他的成绩有没有在提高,现在还没考试
现在还没考试,还看不出什么
还看不出什么,有的时候我真的挺想关心杨杨的
有的时候我真的挺想关心杨杨的,可一是我工作忙
可一是我工作忙,二是怎么关心他，我
二是怎么关心他，我,我真的不知道怎么入手
我真的不知道怎么入手,你真的想关心
你真的想关心,真的
真的,要不然这样然后他们班上有一个微信家长群
要不然这样然后他们班上有一个微信家长群,有什么事什么话老师都在里边说
有什么事什么话老师都在里边说,要不然我把你加进去
要不然我把你加进去,等等
等等,这个群里有多少人
这个群里有多少人,五六十人
五六十人,那么多
那么多,孩子就那么多
孩子就那么多,别加了
别加了,你在群里就行了
你在群里就行了,万一杨杨同学的家长要加我
万一杨杨同学的家长要加我,我不大方便
我不大方便,我就不加了
我就不加了,早就知道是这样
早就知道是这样,明天杨杨誓师大会你假请好了吗
明天杨杨誓师大会你假请好了吗,一早就请好了
一早就请好了,你放心
你放心,这事我能忘了
这事我能忘了,那你早点睡
那你早点睡,不是 你这衣服都换好了
不是 你这衣服都换好了,怎么还耸眉耷眼的
怎么还耸眉耷眼的,别叹气
别叹气,你那车 前轮原来的角度给你调过了
你那车 前轮原来的角度给你调过了,换油器进气跟喷油的比例给你调了
换油器进气跟喷油的比例给你调了,后轮距加宽
后轮距加宽,加宽了一厘米
加宽了一厘米,试试去
谢谢舅舅,注意安全
知道了,今天见到小时候的一个朋友
今天见到小时候的一个朋友,也不是小时候，中学的时候
也不是小时候，中学的时候,当时我们两个家住同一个院子
当时我们两个家住同一个院子,我看到了
我看到了,你们不是发小吗
你们不是发小吗,发小不是从小一块混的吗
发小不是从小一块混的吗,我们是那种小时候在一块玩的好朋友
我们是那种小时候在一块玩的好朋友,后来长大了就没联系了
后来长大了就没联系了,为什么不联系
为什么不联系,为什么不联系
为什么不联系,反正小的时候我学习成绩比较好
反正小的时候我学习成绩比较好,他学习成绩一般
他学习成绩一般,考大学的时候我考上了
考大学的时候我考上了,他没考上复读一年
他没考上复读一年,我明白了，那个谁是那个谁的老婆
我明白了，那个谁是那个谁的老婆,他是她老公，他们是一家的
他是她老公，他们是一家的,我说呢
我说呢,没听明白你什么意思
没听明白你什么意思,你笨死了 就是那个季 你这个季
你笨死了 就是那个季 你这个季,是那个季杨杨的爸爸
是那个季杨杨的爸爸,他们不是都姓季嘛
他们不是都姓季嘛,我明白了
我明白了,你是说他
你是说他,然后我认识的那个女的是他们的一家的
然后我认识的那个女的是他们的一家的,我明白明白
我明白明白,你知道吧
你知道吧,知道了，自从你跟你结婚第二年开始
知道了，自从你跟你结婚第二年开始,第二年开始我就已经习惯听不清楚你说的什么
第二年开始我就已经习惯听不清楚你说的什么,跟方一凡打架
跟方一凡打架,那个季杨杨是我的同学季胜利的儿子
那个季杨杨是我的同学季胜利的儿子,你认识那女的是跟季胜利是夫妻俩
你认识那女的是跟季胜利是夫妻俩,对
对,他们是一家的
他们是一家的,听懂了
听懂了,懂了不容易
懂了不容易,方圆不是我说你，每次到关键时候你就掉链子了
方圆不是我说你，每次到关键时候你就掉链子了,你说你好不容易遇到一个像样的朋友
你说你好不容易遇到一个像样的朋友,你主动点
你主动点,妈妈给你说点事
没事吧,妈妈不跟你吵
妈妈不跟你吵,也不跟你闹
也不跟你闹,妈妈就问你到底怎么回事
妈妈就问你到底怎么回事,一年不到的时间成绩下滑成这样
一年不到的时间成绩下滑成这样,怎么就突然不想学了
怎么就突然不想学了,对学习不感兴趣
对学习不感兴趣,还是老师讲的不好
还是老师讲的不好,还是有其他的原因
还是有其他的原因,总得有个原因
是那帮人进步的太快了,你告诉妈妈你这样的状态你怎么参加高考
你告诉妈妈你这样的状态你怎么参加高考,别说高考了
别说高考了,你知道你这成绩你连高中毕业你都毕业不了
你知道你这成绩你连高中毕业你都毕业不了,你知道吗
你知道吗,妈妈为你这个事情今天跑了一天
妈妈为你这个事情今天跑了一天,本来开学之前你们老师找我谈话
本来开学之前你们老师找我谈话,让你蹲班
让你蹲班,凡凡你知道妈妈今天为你的事情跑了一天
凡凡你知道妈妈今天为你的事情跑了一天,本来开学之前你们老师找我谈话
本来开学之前你们老师找我谈话,让你蹲班
让你蹲班,我一开始不同意
我一开始不同意,后来我同意了
后来我同意了,我连你的这些补习班我都给你找好了
我真的 补习班我不愿意上了,不要激动
不要激动,你现在不上补习班
你现在不上补习班,今天你们李老师又跟我说不蹲班了
今天你们李老师又跟我说不蹲班了,跟其他同学一样正常参加高考
跟其他同学一样正常参加高考,但是凡凡你知道不蹲班意味着什么吗
但是凡凡你知道不蹲班意味着什么吗,意味着你得把之前落下的成绩全补上
意味着你得把之前落下的成绩全补上,你不光得补上
你不光得补上,你还得比别人学的还要好
你还得比别人学的还要好,你才有可能能考上好的大学
你才有可能能考上好的大学,可是以你现在这种吊儿郎当的态度
可是以你现在这种吊儿郎当的态度,你行吗
你行吗,实在不行的话咱们还是蹲班
而且我也不想这给你和我爸丢脸,你真这么想
绝不蹲班,那你得拿出态度来
那你得拿出态度来,你也得拿出实际行动来
你也得拿出实际行动来,手机是不能再玩了
手机是不能再玩了,游戏不能再玩了
游戏不能再玩了,电影也不能再看了
电影也不能再看了,你要不想让人瞧不起你
你要不想让人瞧不起你,是不是得把所有的精力都放在学习上
咱就复读一年,你再读一年这何必 凡凡你自己算算这个账
你再读一年这何必 凡凡你自己算算这个账,你现在能努力，拼一下，就拼9个月
你现在能努力，拼一下，就拼9个月,你需要把9个月的煎熬变成18个月吗
你需要把9个月的煎熬变成18个月吗,高考是你人生最关键的一场战役
高考是你人生最关键的一场战役,这场战役打赢了你一生受益 打不赢
这场战役打赢了你一生受益 打不赢,你终生遗憾
我的人生刚开始怎么就终生遗憾了呢,凡凡妈妈跟你说实话
凡凡妈妈跟你说实话,我们是一个很普通的家庭
我们是一个很普通的家庭,爸爸妈妈没有任何背景
爸爸妈妈没有任何背景,我们也没有任何关系
我们也没有任何关系,我们就指望你通过高考鲤鱼跃龙门了
我们就指望你通过高考鲤鱼跃龙门了,龙门你要跃过去
龙门你要跃过去,你会改变你一生
你会改变你一生,爸爸妈妈能做什么
爸爸妈妈能做什么,我们做的这些是为什么
我们做的这些是为什么,我们不是为我们自己
我们不是为我们自己,我们就是为了你给你提供一个好的条件
我们就是为了你给你提供一个好的条件,让你跨过门槛
让你跨过门槛,将来你有一个好的学历
将来你有一个好的学历,你终生受益
您觉得学历重要还是真本事重要,真本事重要
真本事重要,但是你先拿你的真本事给妈妈对付的学历
但是你先拿你的真本事给妈妈对付的学历,你只要考上大学
你只要考上大学,妈妈保证你做什么妈妈绝对不干涉
妈妈保证你做什么妈妈绝对不干涉,只要不是违法乱纪的事情
只要不是违法乱纪的事情,但是之前你先考上了大学
但是之前你先考上了大学,你给妈妈吃个定心丸 算妈妈求你了好不好
我努力,让我在这锻炼身体
让我在这锻炼身体,自己在那躺着发呆
自己在那躺着发呆,起来 一块练会
起来 一块练会,烦死了
烦死了,烦什么
烦什么,蹲班的事
怎么了,不又不蹲了吗
不又不蹲了吗,一会儿蹲一会儿不蹲的
一会儿蹲一会儿不蹲的,这鱼还没喂呢 对
这鱼还没喂呢 对,对
对,鱼还没喂呢
鱼还没喂呢,李萌给我发个信息
李萌给我发个信息,一凡妈妈 看到您今天很焦急
一凡妈妈 看到您今天很焦急,我也很愧疚
我也很愧疚,放心
放心,我们一起努力让一凡追赶上来
我们一起努力让一凡追赶上来,还给我发一个学霸的共同点
还给我发一个学霸的共同点,你听听
你听听,一家庭充满爱的滋养
一家庭充满爱的滋养,这咱有 
这咱有 ,二
二,热衷的不是学习
热衷的不是学习,而是思考
而是思考,也有
也有,三爱学习更爱生活
三爱学习更爱生活,这个有一半
这个有一半,10相信比成绩重要的东西还有很多
10相信比成绩重要的东西还有很多,这个 他太相信了
这个 他太相信了,你说方一凡基本都有
你说方一凡基本都有,为什么成绩还这么差
为什么成绩还这么差,他怎么就不能成为一个学霸呢
他怎么就不能成为一个学霸呢,人家都行
人家都行,他就不行
他就不行,拿来我瞅瞅
拿来我瞅瞅,我瞅瞅
我瞅瞅,一天到晚不给我省心
一天到晚不给我省心,烦得我我一脑门子官司
烦得我我一脑门子官司,干嘛还烦你一脑门子官司
干嘛还烦你一脑门子官司,不是 她太善变了
不是 她太善变了,一会说蹲一会说不蹲
一会说蹲一会说不蹲,昨天说蹲今天说不蹲
昨天说蹲今天说不蹲,我是担心他们学校想把方一凡这样的孩子给放弃了
我是担心他们学校想把方一凡这样的孩子给放弃了,我觉得也不太可能
我觉得也不太可能,老师刚才给你发这个就说明你没放弃方一凡
老师刚才给你发这个就说明你没放弃方一凡,知道吧
知道吧,我问你
我问你,昨天为什么事担心
昨天为什么事担心,因为要方一凡蹲班
因为要方一凡蹲班,你今天为什么事担心
你今天为什么事担心,因为不让他蹲班
因为不让他蹲班,看见没有
看见没有,让他蹲班你担心
让他蹲班你担心,不让他蹲班你也担心
不让他蹲班你也担心,你看你都担心
你看你都担心,这不是担心即菩提吗
这不是担心即菩提吗,屁话 我能不担心吗
屁话 我能不担心吗,他成绩不好
他成绩不好,他成绩好烦个屁
他成绩好烦个屁,好
好,你看我怎么理解
你看我怎么理解,比如说让方一凡蹲班
比如说让方一凡蹲班,我认为给咱一机会多一年
我认为给咱一机会多一年,让咱上4年高中 方一凡的机会就比别人高了
让咱上4年高中 方一凡的机会就比别人高了,比别人机会要大
